timestamp,open,high,low,close
2021-04-01,1.1728,1.17799,1.1714,1.17756
2021-04-05,1.17561,1.18196,1.17381,1.18135
2021-04-06,1.18135,1.18777,1.17955,1.18722
2021-04-07,1.18723,1.19145,1.1861,1.18697
2021-04-08,1.18698,1.19274,1.1861,1.19153
2021-04-09,1.19155,1.19203,1.18674,1.19031
2021-04-12,1.18974,1.19190,1.18715,1.19126
2021-04-13,1.19125,1.19557,1.18802,1.19500
2021-04-14,1.19500,1.19872,1.19489,1.19789
2021-04-15,1.19792,1.19933,1.19564,1.19674
2021-04-16,1.19677,1.19946,1.19505,1.19809
2021-04-19,1.19758,1.20479,1.19428,1.20374
2021-04-20,1.20374,1.20799,1.20226,1.20351
2021-04-21,1.20350,1.20438,1.19987,1.20361
2021-04-22,1.20359,1.20694,1.19938,1.20169
2021-04-23,1.20168,1.20998,1.20129,1.20996
2021-04-26,1.20950,1.21168,1.20617,1.20866
2021-04-27,1.20869,1.20932,1.20569,1.20891
2021-04-28,1.20895,1.21344,1.20563,1.21255
2021-04-29,1.21255,1.21499,1.21025,1.21229
2021-04-30,1.21229,1.21265,1.20168,1.20234
2021-05-03,1.20289,1.20762,1.20133,1.20644
2021-05-04,1.20642,1.20642,1.19993,1.20116
2021-05-05,1.20116,1.20266,1.19864,1.20069
2021-05-06,1.20069,1.20717,1.19937,1.20634
2021-05-07,1.20637,1.21715,1.20530,1.21664
2021-05-10,1.21686,1.21769,1.21280,1.21313
2021-05-11,1.21314,1.21811,1.21231,1.21498
2021-05-12,1.21497,1.21516,1.20657,1.20713
2021-05-13,1.20713,1.21062,1.20516,1.20821
2021-05-14,1.20821,1.21477,1.20712,1.21430
2021-05-17,1.21418,1.21688,1.21262,1.21529
2021-05-18,1.21530,1.22334,1.21525,1.22247
2021-05-19,1.22245,1.22450,1.21602,1.21765
2021-05-20,1.21765,1.22297,1.21692,1.22296
2021-05-21,1.22295,1.22398,1.21612,1.21868
2021-05-24,1.21801,1.22298,1.21730,1.22168
2021-05-25,1.22163,1.22665,1.22117,1.22500
2021-05-26,1.22500,1.22629,1.21822,1.21944
2021-05-27,1.21945,1.22150,1.21753,1.21949
2021-05-28,1.21945,1.22049,1.21331,1.21947
2021-05-31,1.21969,1.22313,1.21838,1.22271
2021-06-01,1.22264,1.22542,1.22118,1.22143
2021-06-02,1.22143,1.22266,1.21641,1.22119
2021-06-03,1.22119,1.22142,1.21184,1.21273
2021-06-04,1.21272,1.21849,1.21041,1.21688
2021-06-07,1.21656,1.22019,1.21452,1.21918
2021-06-08,1.21916,1.21942,1.21645,1.21731
2021-06-09,1.21730,1.22178,1.21713,1.21789
2021-06-10,1.21787,1.21939,1.21438,1.21741
2021-06-11,1.21741,1.21930,1.20926,1.21091
2021-06-14,1.21088,1.21303,1.20947,1.21201
2021-06-15,1.21201,1.21473,1.21017,1.21292
2021-06-16,1.21292,1.21348,1.19917,1.19938
2021-06-17,1.19935,1.20064,1.18923,1.19063
2021-06-18,1.19074,1.19251,1.18478,1.18682
2021-06-21,1.18659,1.19213,1.18479,1.19189
2021-06-22,1.19189,1.19526,1.18810,1.19399
2021-06-23,1.19404,1.19700,1.19119,1.19279
2021-06-24,1.19277,1.19564,1.19179,1.19308
2021-06-25,1.19321,1.19752,1.19264,1.19414
2021-06-28,1.19369,1.19445,1.19028,1.19271
2021-06-29,1.19262,1.19297,1.18780,1.19018
2021-06-30,1.18988,1.19090,1.18454,1.18590
2021-07-01,1.18590,1.18843,1.18376,1.18497
2021-07-02,1.18496,1.18741,1.18083,1.18657
2021-07-05,1.18686,1.18807,1.18515,1.18621
2021-07-06,1.18624,1.18950,1.18077,1.18219
2021-07-07,1.18219,1.18354,1.17819,1.17939
2021-07-08,1.17936,1.18678,1.17837,1.18449
2021-07-09,1.18456,1.18800,1.18252,1.18795
2021-07-12,1.18763,1.18799,1.18363,1.18620
2021-07-13,1.18620,1.18752,1.17723,1.17780
2021-07-14,1.17780,1.18388,1.17721,1.18368
2021-07-15,1.18369,1.18505,1.17964,1.18129
2021-07-16,1.18124,1.18222,1.17923,1.18043
2021-07-19,1.18087,1.18246,1.17640,1.17973
